g,u-g,g-r,r-i,i-z,extinction_r
18.65174,0.21307000000000187,0.08526999999999774,-0.12315999999999505,0.06574999999999775,0.05408983
18.20188,-0.2971699999999977,-0.3625000000000007,-0.3526999999999987,-0.3032400000000024,0.1524195
18.04448,0.1461199999999998,0.07139000000000095,-0.1471499999999999,0.061779999999998836,0.0426089
17.48337,0.08516999999999797,0.16494000000000142,0.2092500000000008,0.09825999999999624,0.158601
18.32916,0.09451999999999572,0.004410000000000025,0.15880000000000294,0.02805999999999997,0.09225299
17.76848,-0.08755000000000024,-0.2699700000000007,-0.2480899999999977,-0.2513200000000033,0.09181231
18.75079,0.14783999999999864,0.21959000000000015,0.22327999999999548,-0.05406999999999584,0.07477877
18.0163,0.0014700000000011926,-0.3555199999999985,-0.35753000000000057,-0.2392700000000012,0.05839828
18.76635,0.05198999999999998,0.11932000000000187,0.09540999999999757,0.010619999999999408,0.021183
18.87395,0.2096299999999971,0.10721000000000204,0.2204499999999996,0.05902999999999992,0.029446
18.04697,0.03584999999999994,0.11212000000000087,-0.07043999999999784,0.4323999999999977,0.06444593
17.82395,0.06616999999999963,0.12131000000000115,-0.025909999999999656,0.2624799999999965,0.04584202
18.07176,0.22654,0.16244999999999976,-0.062389999999997066,0.11812000000000113,0.2136602
17.76634,-0.22151999999999816,-0.4463600000000021,-0.3091200000000001,-0.2830599999999954,0.1987559
18.35448,0.19116,-0.06944999999999979,-0.08891000000000204,0.05405000000000015,0.1136767
17.77831,-0.10963999999999884,-0.4591399999999979,-0.2992600000000003,-0.2430000000000021,0.1382428
16.5811,-0.22342000000000084,-0.4788299999999985,-0.328630000000004,-0.35291999999999746,0.10935
18.72566,0.2001199999999983,0.1359899999999996,0.12934000000000268,0.22126999999999694,0.1263061
18.68332,0.07582999999999984,0.3155800000000042,-0.0064600000000005755,0.011229999999997629,0.0422812
17.69755,0.13342000000000098,0.11596000000000115,0.08771000000000129,0.17114999999999725,0.05241333
18.95125,0.29217999999999833,0.007270000000001886,0.01620999999999739,0.11466000000000065,0.02924532
18.7894,-0.03789000000000087,-0.4082499999999989,-0.3323500000000017,-0.1562999999999981,0.05408062
19.17705,0.15578999999999965,-0.01876000000000033,0.18152000000000254,-0.047620000000002,0.04528227
19.06592,0.022639999999999102,0.01781000000000077,0.2547100000000029,-0.07726000000000255,0.02136927
