is_wd,g,u-g,g-r,r-i,i-z,extinction_r
False,17.844160000000002,-0.4094900000000017,-0.40398999999999674,-0.3094100000000033,-0.31603999999999743,0.26084179999999996
False,18.97837,-0.03504000000000218,-0.35937999999999803,-0.23877999999999844,-0.32267000000000223,0.3732397
False,19.105529999999998,-0.26038999999999746,-0.3412700000000015,-0.2853299999999983,-0.2849900000000041,0.2897592
False,17.12208,0.04238000000000142,0.20833000000000013,0.45027999999999935,-0.026540000000000674,0.35843220000000003
False,17.69995,-0.3436799999999991,-0.41279999999999717,-0.2642400000000009,-0.27372000000000085,0.34957859999999996
False,18.77148,0.0355799999999995,-0.26577999999999946,-0.21661999999999892,-0.1847999999999992,0.255734
False,17.39536,0.1496700000000004,-0.29240000000000066,-0.2787000000000006,-0.28108999999999895,0.2624875
False,19.07421,0.0182399999999987,-0.019010000000001526,0.1867800000000024,0.07247999999999877,0.05443944
False,18.91381,0.1652099999999983,-0.04328999999999894,0.11864999999999881,-0.006439999999997781,0.04830176
False,18.87856,0.06490000000000151,0.19690999999999903,0.23048999999999964,0.2581300000000013,0.28254320000000005
False,18.95274,0.24167000000000272,-0.32169000000000025,-0.2604900000000008,-0.3507599999999975,0.08250635
True,18.10953,0.1635099999999987,-0.0013400000000025614,-0.13697999999999766,-0.13847000000000165,0.3825107
False,17.7533,0.12394000000000105,-0.3001100000000001,-0.2682600000000015,-0.21270000000000167,0.3129893
False,18.522170000000003,0.24794999999999945,-0.2580499999999972,-0.21846999999999994,-0.3342500000000008,0.2857515
False,16.00238,-0.10583999999999882,-0.3881900000000016,-0.32623999999999853,-0.22617999999999938,0.24816649999999998
False,18.2305,0.18109000000000108,0.07169000000000025,0.143539999999998,0.031169999999999476,0.313449
False,17.46858,0.17168000000000205,0.1855399999999996,-0.016970000000000596,0.009660000000000224,0.06535837
False,18.07656,0.009650000000000603,-0.1630699999999976,-0.22619000000000256,-0.15241999999999933,0.06908989999999998
False,17.75914,0.04553000000000296,-0.20168999999999926,-0.18108000000000146,-0.12283000000000044,0.05835139
False,17.39382,0.06458999999999904,-0.45545999999999864,-0.2910599999999981,-0.2762600000000006,0.05243644
False,18.238039999999998,0.09227000000000274,0.23271000000000086,-0.12269000000000574,0.7315400000000025,0.06075434
False,17.93094,0.06148000000000309,0.0287399999999991,0.20110000000000028,0.040229999999997546,0.05915139
False,18.89013,0.15323000000000064,0.08579999999999899,0.20330999999999833,-0.0008299999999969998,0.06099337
False,15.89998,0.10164999999999935,-0.33633000000000024,-0.2513600000000018,-0.27406999999999826,0.05597089
False,18.73678,0.05659999999999954,0.25319999999999965,0.058209999999998985,-0.08170000000000144,0.07081219
False,18.65943,-0.030290000000000816,0.4222500000000018,0.009159999999997837,-0.11061999999999728,0.07838521
False,16.29136,0.2286799999999971,-0.32709999999999795,-0.2766699999999993,-0.20224999999999937,0.07264839999999999
True,18.33526,-0.35039000000000087,-0.48034999999999783,-0.34886000000000195,-0.34333999999999776,0.07666953
False,18.9022,0.1044799999999988,0.13220000000000098,0.228629999999999,0.10857000000000028,0.1352253
False,18.88481,0.27069999999999794,0.1061600000000027,-0.01792999999999978,0.0012599999999984846,0.14724890000000002
False,18.27065,0.25811000000000206,-0.0259999999999998,-0.0817300000000003,-0.17739999999999867,0.1137885
False,18.52835,0.19477999999999795,0.08229000000000042,0.25122,0.051259999999999195,0.10645410000000001
False,16.51051,-0.36743999999999843,-0.22475000000000023,0.023440000000000794,0.0971599999999988,0.1277276
False,18.75424,-0.25974000000000075,-0.386610000000001,-0.3184299999999993,-0.34476000000000084,0.1418144
False,18.73933,0.12304000000000315,-0.10779000000000138,-0.0535199999999989,-0.09383000000000052,0.1355185
False,18.2566,0.02242000000000388,0.09937999999999647,0.283570000000001,0.0062299999999986255,0.12430550000000001
False,18.97208,0.2550200000000018,0.14446999999999832,0.2515800000000006,0.039979999999999905,0.1648997
False,19.16704,0.15215999999999852,-0.013949999999997686,-0.13811000000000107,0.08866000000000085,0.21483400000000002
True,16.93565,-0.2844699999999989,-0.38108000000000075,-0.2772400000000026,-0.27092999999999634,0.20351429999999998
