objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_r,class,subClass
1237662266462568503,225.78045,4.8101844,19.05355,18.86965,18.86161,19.02434,18.93063,0.1106149,QSO,BROADLINE
1237662267536048217,225.31257,5.6275993,16.91643,16.66221,16.777,16.80786,16.88293,0.1048447,STAR,A0
1237662267535523885,224.04474,5.7779486,18.03589,17.88241,17.75573,17.8812,17.45896,0.09673673,GALAXY,null
1237662268072984759,225.37891,6.0422466,19.13613,19.06187,19.09049,18.97855,18.91432,0.09969455,QSO,BROADLINE
1237662236410314784,225.51709,6.7544588,16.93268,16.81953,16.71582,16.82434,16.31966,0.08445429,QSO,STARBURST BROADLINE
1237662268073312282,226.13481,5.8744103,18.22282,18.04262,17.89914,18.02246,17.97388,0.150411,QSO,BROADLINE
1237662268610117878,226.1062,6.4986913,18.99659,18.78827,18.80747,18.66282,18.47172,0.09726883,QSO,BROADLINE
1237662269147054123,226.23606,6.8274403,18.87344,18.77744,18.74876,18.51162,18.52684,0.07740965,QSO,BROADLINE
1237662267000619024,228.45648,4.8354878,18.05097,18.19368,18.20646,17.78994,17.82194,0.1417161,QSO,BROADLINE
1237655743483084880,227.52104,5.1516033,18.35623,18.35497,18.55107,18.74779,18.91729,0.116972,STAR,OB
1237655742946148540,227.22367,4.9163778,19.14556,19.04935,18.89885,18.82579,18.9508,0.1194987,QSO,BROADLINE
1237661970113757220,189.45113,6.4078337,18.72431,18.56714,18.60763,18.71955,18.6205,0.06015566,QSO,BROADLINE
1237661974401515540,189.10417,6.4939429,18.8815,18.85562,18.66384,18.525,18.60711,0.05576804,QSO,BROADLINE
1237661971187236891,188.87427,7.2528067,18.86417,18.67565,18.5304,18.46565,18.02593,0.05660646,QSO,BROADLINE
1237661975475191830,188.99933,7.3692551,17.98413,17.75461,17.70396,17.52416,17.5203,0.0574728,QSO,BROADLINE
1237661974401318934,188.65571,6.4677127,18.35674,18.33802,18.26674,18.06652,17.80125,0.05846592,QSO,BROADLINE
1237661972797784230,188.78039,8.4174876,19.03549,18.93147,18.64393,18.53506,18.2861,0.05508387,QSO,BROADLINE
1237661976011800792,188.48381,7.7988804,19.12879,18.86094,18.80707,18.73234,18.13408,0.05897961,QSO,BROADLINE
1237661972797915245,189.02728,8.511374,19.18918,19.13004,18.9155,19.07985,19.1211,0.05307501,QSO,BROADLINE
1237661972260847699,188.62281,7.9525264,18.15355,18.07495,17.88675,17.87089,18.00952,0.0523386,QSO,BROADLINE
1237661972261306416,189.58035,8.0526914,16.39159,16.47297,16.71659,16.95893,17.15636,0.06950411,STAR,OB
1237661976549130317,189.54773,8.2944327,18.89891,18.72988,18.63934,18.78736,18.81877,0.06893564,QSO,BROADLINE
1237661972798111752,189.49647,8.4254036,19.01419,18.93091,18.81962,18.75034,18.63713,0.06772017,QSO,BROADLINE
1237661976549326888,189.91342,8.1353186,18.57603,18.41297,18.43681,18.38904,18.15079,0.07394791,QSO,BROADLINE
1237661977086263485,190.14464,8.6629532,19.20395,19.01027,18.94974,18.96142,18.87506,0.0646264,QSO,BROADLINE
1237661976012587109,190.2271,7.7580287,18.68413,18.63894,18.59517,18.74768,18.15399,0.07075743,QSO,STARFORMING BROADLINE
1237661977089278037,196.98257,8.3949121,19.33662,19.15302,19.07624,18.81695,18.83765,0.08268847,QSO,BROADLINE
1237661972801585176,197.44584,8.3300673,15.54591,15.66242,15.62843,15.14089,15.48292,0.0949992,QSO,STARBURST BROADLINE
1237661971727777852,197.33655,7.4985314,17.19023,17.19702,17.53479,17.77483,18.07417,0.08792268,STAR,WD
1237661976552603696,197.54709,7.9712261,17.69924,17.4318,17.58888,17.47214,17.63817,0.09170983,QSO,BROADLINE
1237661972264779914,197.61699,7.760426,19.16196,19.06312,18.97461,18.90154,18.75837,0.08693419,QSO,BROADLINE
1237661972264779966,197.70083,7.8022722,19.36219,19.12384,19.07056,18.9055,19.14344,0.08200856,QSO,BROADLINE
1237661976015863901,197.74238,7.5661819,19.28353,19.19824,19.16386,18.90071,18.71793,0.07814652,QSO,BROADLINE
1237664813911048204,198.15805,8.836195,17.907,17.77967,17.63941,17.65547,17.72837,0.07645344,QSO,BROADLINE
1237662236935192598,198.08375,9.272236,18.57297,18.44811,18.39454,18.38656,17.94046,0.0639384,QSO,BROADLINE
1237662263236165641,198.99174,9.405959,19.00112,19.1147,18.8555,18.87086,18.90123,0.0769702,GALAXY,null
1237658491213250590,197.71662,8.5195325,18.25047,18.28191,18.1895,17.9469,17.88508,0.09245609,QSO,BROADLINE
1237658491213185094,197.59132,8.6392674,18.93134,19.01971,18.99291,18.8864,18.713,0.0824286,QSO,BROADLINE
1237662237471801406,197.47448,9.6412506,18.98656,18.86093,18.85574,18.70574,18.64422,0.07017879,QSO,BROADLINE
1237662236934799362,197.04079,9.2061612,18.94176,18.83204,18.73527,18.86857,18.81396,0.07669034,QSO,BROADLINE
1237662236934668371,196.87508,9.3681053,17.70951,17.71322,17.63976,17.61121,17.33593,0.07059664,QSO,BROADLINE
1237662236397862919,196.87837,8.7783315,17.18692,17.09933,17.13727,17.23597,16.63426,0.07841223,QSO,BROADLINE
1237662236397731847,196.57738,8.8781835,17.9247,17.7727,17.5682,17.21799,17.28915,0.08856151,QSO,STARBURST BROADLINE
1237658493897408519,197.25079,10.627057,17.60925,17.52006,17.50824,17.43014,17.26918,0.06152195,QSO,BROADLINE
1237658493360144582,196.43204,10.276526,18.98295,18.75725,18.61517,18.35313,18.41994,0.06907821,QSO,BROADLINE
1237662237471604926,197.02838,9.7292304,19.22479,18.98903,18.98992,18.99865,18.51262,0.06227835,QSO,BROADLINE
1237662238545412146,197.18857,10.503433,18.62709,18.33079,18.31582,18.28574,18.2555,0.05784699,QSO,BROADLINE
1237658493360537622,197.25245,10.233102,18.08147,17.93516,18.044,18.06553,17.71114,0.05924797,QSO,BROADLINE
1237662238008999942,198.14434,9.9626345,18.33399,18.03973,18.2523,18.0237,17.8961,0.05966629,QSO,BROADLINE
1237661970118213766,199.77446,6.2035685,18.54833,18.60168,18.30814,18.25289,18.24604,0.09733556,QSO,BROADLINE
1237661974405972011,199.40911,6.386594,18.93646,18.78417,18.69649,18.60437,18.50441,0.1027318,QSO,BROADLINE
