objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237678661962694818,SDSS J001655.37+050442.17,4.23071,5.07838,18.63,0.03,DA,6889,39,7.81,0.000400712255986149
1237655125551480939,SDSS J130723.92+050532.03,196.8497,5.09223,18.55,0.01,DC,8923,500,7.868,0.0237515209912951
1237655744022446170,SDSS J153251.12+050536.71,233.213,5.09353,16.98,0.02,He-sdO,91470,1992,5.01,0.00259123063426529
1237654881273118844,SDSS J141259.91+050619.08,213.2496,5.1053,18.29,0.01,sdB,31491,235,5.675,0.00107703466594131
1237671957517303871,SDSS J133540.76+050722.58,203.9198,5.12294,18.53,0.02,CV,11323,229,9.84,0.00212255107182338
1237669761718812754,SDSS J214140.43+050729.96,325.4185,5.12499,18.87,0.02,CV,11500,2000,8,0.002616795061788
1237655126093332578,SDSS J135300.84+050855.14,208.2535,5.14865,18.92,0.02,DA,26191,302,7.932,0.00193961502448068
1237662266999505017,SDSS J150409.14+050942.62,226.0381,5.16184,18.21,0.02,DA,27515,171,8.007,0.00347860900831437
1237654602105880589,SDSS J105115.25+051021.11,162.8135,5.17253,18.89,0.02,DA,20716,209,7.87,0.00509503722924043
1237655742404821130,SDSS J142825.08+051031.10,217.1045,5.17531,17.16,0,DBA,17700,65,8.017,0.00958568948650729
1237654880729825306,SDSS J131351.71+051054.42,198.4655,5.18178,18.62,0.01,DB,30930,340,7.813,0.000683642383878868
1237662269154459828,SDSS J161255.04+051152.08,243.2293,5.1978,18.66,0.02,DA+DO12,12448,101,7.02,0.00298964371430878
1237654602107846737,SDSS J110931.99+051217.84,167.3833,5.20496,18.03,0.01,DA,16611,100,8.124,0.00285533919513766
1237654605868826684,SDSS J113725.59+051550.80,174.3566,5.26411,16.76,0.01,He-sdO,38182,231,5,0.00155272915097787
1237662268615295018,SDSS J155126.16+051636.66,237.859,5.27685,18.89,0.02,DA+M4,21045,438,8.05,0.00467330651527266
1237654602640130095,SDSS J102714.41+051745.89,156.81,5.29608,18.7,0.02,DA,16612,158,8,0.00921690108035086
1237669696759988619,SDSS J220151.22+051831.14,330.4634,5.30865,18.43,0.02,DA,15313,379,5.27,0.00139385077074748
1237655742943920216,SDSS J144854.80+051903.54,222.2283,5.31765,18,0.02,DQ,14700,300,8.5,0.0226553228216994
1237662263254515998,SDSS J160450.44+051909.26,241.2102,5.31924,18.35,0.01,He-sdB,45818,42,7,6.92405336381049E-05
1237654602641178671,SDSS J103638.84+052250.81,159.1618,5.38078,17.8,0.01,DA,19548,153,7.934,0.00413827162551134
1237658297921765493,SDSS J101904.85+052256.30,154.7702,5.38231,18.2,0.01,DB,10719,119,8,0.00236426717903262
1237679006095441930,SDSS J231256.34+052300.92,348.2347,5.38359,18.37,0.03,DA,6950,36,7.251,0.000637484035375965
1237655743482363923,SDSS J150304.30+052436.61,225.7679,5.41017,18.53,0.02,sdO,65116,4375,5.86,0.00112964210024304
1237669761186398259,SDSS J222228.89+052546.78,335.6204,5.42966,18.07,0.02,DA,29018,154,8.072,0.00244446066482387
1237669761186463820,SDSS J222256.04+052615.07,335.7335,5.43752,18.56,0.02,DA,18187,206,8.018,0.000540071708337184
1237655742403444813,SDSS J141551.09+052615.52,213.9629,5.43764,17.93,0.01,F0/DA:,7271,500,4,0.00061909954333016
1237678662495043762,SDSS J233524.63+052621.01,353.8526,5.43917,18.93,0.03,DAZ:,7118,34,7.32,0.000343062675605396
1237655743482429472,SDSS J150343.23+052707.92,225.9301,5.4522,16.92,0.01,DA,25183,128,8.207,0.00823453316919607
1237678623848005676,SDSS J013222.88+052923.71,23.09533,5.48992,18.38,0.03,DAZ:,7091,30,7.22,0.000853120728831742
1237655126077538320,SDSS J112747.00+052948.35,171.9458,5.49676,18.47,0.01,DA,23466,200,7.991,0.00450675645024175
1237655126079307780,SDSS J114404.71+052951.40,176.0196,5.49761,17.3,0.01,DA,22636,153,7.857,0.0107218986255604
1237662263253794985,SDSS J155808.03+053004.36,239.5335,5.50121,18.26,0.02,DA,63110,1734,7.876,0.000794967660787904
1237658298992033959,SDSS J094712.34+053158.01,146.8014,5.53278,18.81,0.02,sdO,42967,1062,5.01,0.00250570702895964
1237655126085206060,SDSS J123808.65+053318.25,189.536,5.55507,17.33,0.02,He-sdO,50000,50,7,0.000516830172335166
1237662268075147363,SDSS J152138.67+053333.98,230.4111,5.55944,17.78,0.02,DA,21328,174,8.047,0.000906956934992524
1237658299526414395,SDSS J092401.04+053345.34,141.0043,5.56259,18.5,0.01,DB:,10378,123,7.47,0.00139649593732252
1237669762791047240,SDSS J212721.52+053434.54,321.8397,5.57626,18.14,0.01,DO,100000,15000,7.5,0.000821368665136368
1237654606934507600,SDSS J102320.81+053445.91,155.8367,5.57942,16.27,0.02,DAB/sdB,23551,165,5,0.00312254415331702
1237654602644127819,SDSS J110341.41+053448.78,165.9225,5.58022,18.69,0.01,DAH,11000,1000,8.75,0.00828705260576173
1237669762791047213,SDSS J212717.87+053527.53,321.8245,5.59098,17.41,0.01,DAO,100000,9000,7.85,0.00153664006932663
1237655126083829790,SDSS J122535.23+053559.78,186.3968,5.59994,16.09,0.02,DAB,21961,115,5,0.00144530819885813
1237662269152952627,SDSS J155918.77+053601.48,239.8282,5.60041,16.67,0.02,DAB:,30939,190,5.43,0.000678963042191866
1237662197753446426,SDSS J161059.80+053625.24,242.7492,5.60701,16.99,0.02,He-sdO,50000,99,7,0.00109535576415689
1237669697296531537,SDSS J215835.42+053645.14,329.6476,5.61254,18.73,0.03,He-sdB,38182,1186,5.21,0.000698000674745553
1237669697831305236,SDSS J213905.34+053818.42,324.7722,5.63845,18.41,0.02,DAZ,10159,82,9.59,0.0041388019570801
1237671126981345430,SDSS J120330.37+053826.16,180.8765,5.6406,18.65,0.03,DA,27224,179,7.989,0.00173880653441278
1237662268613525720,SDSS J153529.06+053838.22,233.8711,5.64395,19,0.02,A/sdB,29455,413,5.442,0.00130127950074574
1237654606405173273,SDSS J113223.30+053916.71,173.0971,5.65464,18.25,0.01,DA,17370,100,8.061,0.00517698730368447
1237655744019890186,SDSS J150908.30+053929.45,227.2846,5.65818,17.72,0.02,DA,26997,107,7.967,0.00114231461142813
1237654881264992274,SDSS J125804.81+053937.62,194.52,5.66045,17.45,0.01,DA+M4,24443,227,7.91,0.0117318273187484
1237678623841583185,SDSS J003328.03+054039.18,8.36679,5.67755,18.07,0.02,DA,6882,27,7.79,0.000501396763568061
1237662262176645167,SDSS J152626.07+054212.10,231.6086,5.70336,18.76,0.02,DA,17696,76,8.131,0.00102825200102297
1237654602643275843,SDSS J105622.00+054222.46,164.0917,5.70624,18.4,0.02,DA,17383,108,8.065,0.00632718231157556
1237669698366341367,SDSS J212234.87+054238.63,320.6453,5.71073,15.96,0.02,DA,37536,97,7.989,0.00754077959748168
1237669698366472219,SDSS J212320.23+054253.60,320.8343,5.71489,17.79,0.02,DA+M3,21045,182,7.82,0.0023476577719459
1237655744019431639,SDSS J150502.04+054312.90,226.2585,5.72025,18.75,0.01,DA,19846,243,7.806,9.22915769281369E-05
1237662266996490347,SDSS J143619.97+054322.44,219.0832,5.7229,18.41,0.02,DA,30544,164,7.884,0.00613950916605135
1237669761189347364,SDSS J224930.60+054327.65,342.3775,5.72435,17.61,0.01,DA+M3,41035,509,8.11,0.00103490286523363
1237662268074491940,SDSS J151519.21+054333.31,228.83,5.72592,16.28,0.02,sdB,23130,138,5,0.000746582200698483
1237667227147108371,SDSS J015329.96+054531.72,28.37483,5.75881,15.94,0.02,DA,37227,95,7.966,0.00139986187378346
1237662266996359210,SDSS J143509.42+054631.33,218.7892,5.77537,16.6,0.02,DA,19022,69,8.02,0.00885445557358405
1237669697832353951,SDSS J214903.12+054704.81,327.263,5.78467,18.29,0.02,DA,24737,149,8.03,0.00452037354470371
1237669763327328359,SDSS J212156.59+054706.72,320.4858,5.7852,18.72,0.02,DA,12762,131,8.846,0.00147525013412461
1237658298458767479,SDSS J102016.09+054919.16,155.067,5.82199,18.04,0.02,DA,20005,181,8.05,0.00631311930314571
1237658298993344609,SDSS J095854.97+055020.83,149.729,5.83912,18.22,0.02,DBAZ,12955,171,8.545,0.00943421534795635
1237669697832550423,SDSS J215029.05+055035.02,327.621,5.84306,16.82,0.01,DA,20335,61,8.079,0.00413384639003558
1237658422479552695,SDSS J103533.02+055158.79,158.8876,5.86633,18.82,0.02,CV,10106,41,9.58,0.00682990595015524
1237654881804746770,SDSS J132430.42+055316.33,201.1268,5.88787,18.47,0.01,DB,16569,69,7.9,0.00508090131954781
1237655126619062336,SDSS J121048.44+055348.26,182.7018,5.89674,18.64,0.37,DABZ,11918,217,8.2,0.00684161599580838
1237655126620438575,SDSS J122303.73+055431.54,185.7655,5.90876,18.58,0.02,DAB:,17326,143,8.3,0.00233573825322682
1237669696764903653,SDSS J224658.43+055529.12,341.7435,5.92476,18.97,0.01,DAB,11425,500,7.359,0.0022859467391868
1237662197752660101,SDSS J160415.95+055823.34,241.0665,5.97315,18.85,0.04,DAZ,7972,30,5.02,0.00116275627340184
1237658492794896483,SDSS J084345.53+055830.49,130.9397,5.97514,16.26,0,DA,26537,110,7.554,0.005388870936811
1237662263252222153,SDSS J154359.37+055842.67,235.9974,5.97852,18.82,0.01,He-sdO,95274,6664,5.6,0.00103395464611011
1237655743478497434,SDSS J142803.07+055855.31,217.0128,5.98203,16.94,0.02,He-sdB,41210,573,5.52,0.00248699146611127
1237669697833206186,SDSS J215652.94+055925.12,329.2206,5.99031,18.68,0.02,DQ,8559,40,8,0.00110451119555312
1237658298993868816,SDSS J100326.99+055930.91,150.8625,5.99192,18.94,0.03,DA,31439,216,7.973,0.00178681482343964
1237662263252615327,SDSS J154720.93+055937.75,236.8372,5.99382,16.13,0.02,sdB,25238,152,5,0.000959304710462482
1237662263790469381,SDSS J155642.39+055939.26,239.1766,5.99424,17.32,0.01,A/DAZ,31747,124,5.636,0.00075680918216458
1237669762258632737,SDSS J220819.50+060255.49,332.0812,6.04875,16.52,0,He-sdO,49461,180,6.732,0.0014244850576414
1237669765477630056,SDSS J011317.33+060333.57,18.32221,6.05933,18.55,0.01,DC,10597,1000,9,0.00814803670123431
1237662268072788190,SDSS J150013.05+060410.52,225.0544,6.06959,18.59,0.02,sdO,34717,354,5.49,0.00132496297319941
1237669697833271381,SDSS J215717.46+060411.03,329.3228,6.06973,18.63,0.02,DA,26682,167,8.06,0.00261762465406934
1237654606944206997,SDSS J115216.65+060438.32,178.0694,6.07731,18.79,0.02,DA,64533,2727,7.57,0.00235358661190778
1237662266994065429,SDSS J141349.98+060444.62,213.4583,6.07906,18.75,0.03,DA,18934,193,8.096,0.00479162286320374
1237662262713516062,SDSS J152628.54+060530.62,231.6189,6.09184,18.36,0.02,DA,14534,174,8.627,0.00316214637377011
1237658423015637099,SDSS J102815.93+060623.58,157.0664,6.10655,18.41,0.03,DAB,24754,292,5,0.00165655086695615
1237669696767393933,SDSS J230953.03+060820.02,347.4709,6.13889,17.82,0.01,DBAZ,15559,5,8.386,0.00135257876737749
1237661063870349336,SDSS J083600.34+060853.30,129.0014,6.14814,17.65,0.03,DA,34424,158,7.534,0.00339071376396676
1237654606945976337,SDSS J120823.23+060955.84,182.0968,6.16551,18.23,0.02,DA,25239,208,8.099,0.00349349026371924
1237661970106679319,SDSS J113300.18+061037.96,173.2507,6.17721,18.12,0.01,DZ,9901,27,8,0.0117341037561331
1237661970108579855,SDSS J115009.49+061042.06,177.5395,6.17835,18.11,0.02,sdO,43500,3500,6.6,0.00149011338658261
1237658298995310633,SDSS J101644.38+061046.02,154.1849,6.17945,18.6,0.03,DA,15199,136,8.021,0.00798926003539172
1237662268611297378,SDSS J151508.61+061145.82,228.7859,6.19606,17.53,0.02,DA,16535,65,8.201,0.00664869877527478
1237678845033971835,SDSS J213019.79+061204.54,322.5825,6.20126,18.72,0.02,DA+M2,34131,124,7.73,0.00120154520197716
1237669696767459403,SDSS J231023.76+061329.93,347.599,6.22498,17.98,0.01,DA,16175,125,8.13,0.00422501060794024
1237678845034168363,SDSS J213156.16+061347.39,322.984,6.22983,18.64,0.02,DA,39416,356,8.016,0.000156748320515581
1237658422483746847,SDSS J111347.44+061431.36,168.4477,6.24204,18.18,0.01,DA,14486,180,8.158,0.00351046988500456
1237669765476581450,SDSS J010348.87+061505.67,15.95363,6.25157,15.9,0,DA,14456,60,8.543,0.00397999743295253
1237662262713123294,SDSS J152321.37+061510.73,230.839,6.25298,18.93,0.02,DA,16327,151,8.075,0.00162992910434468
1237671955905904732,SDSS J132800.53+061542.01,202.0022,6.26167,16.55,0.02,DBA,17360,38,8.018,0.00735552059709932
1237669701052334098,SDSS J011721.58+061601.12,19.33992,6.26698,18.36,0.01,DB,15730,100,8.048,0.00432682205516908
1237658299529822287,SDSS J095525.45+061606.89,148.856,6.26858,18.09,0.02,DA,17942,108,7.643,0.0039417515045747
1237661970115199126,SDSS J125109.08+061642.35,192.7878,6.27843,17.8,0.03,DA,13880,163,9.041,0.0049266631579333
1237662267531919399,SDSS J142304.83+061650.38,215.7701,6.28066,18.78,0.02,DA,18765,147,7.992,0.0034025213351035
1237669763863937130,SDSS J211926.84+061718.46,319.8618,6.28846,18.44,0.02,sdO,33735,316,5.47,0.00112727271373969
1237655743477186642,SDSS J141556.26+061822.43,213.9844,6.30623,17.14,0.01,PG1159,120000,10000,7.5,0.00297518599882096
1237669516367364223,SDSS J235316.71+061859.75,358.3196,6.3166,17.99,0.01,DA,16067,70,8.088,0.00236958674215851
1237669763864526948,SDSS J212449.23+061956.50,321.2051,6.33236,18.16,0.01,DAO/sdO,83721,3199,6.51,0.000827629854177336
1237661970115002440,SDSS J124915.21+062052.94,192.3134,6.34804,17.59,0.02,DA,43951,484,8,0.00327455445299707
1237669516368019590,SDSS J235919.03+062119.12,359.8293,6.35531,18.88,0.01,DC,7300,1000,6.5,0.00387236759594259
1237669516368609328,SDSS J000428.67+062124.82,1.11946,6.35689,18.88,0.01,DA,22463,240,7.954,0.0013247580480273
1237661970115264536,SDSS J125129.17+062152.13,192.8715,6.36448,15.89,0.03,He-sdO,49412,48,7,0.00100732974116686
1237655744015892527,SDSS J143246.80+062158.43,218.195,6.36623,15.67,0.01,sdB,25062,150,5,0.00111008104684147
1237658424086298742,SDSS J095944.57+062209.55,149.9357,6.36932,18.11,0.01,DA,76817,1898,8.244,0.00259318251329923
1237658422487154708,SDSS J114511.78+062235.60,176.2991,6.37656,18.64,0.01,DA,31734,210,7.368,0.000832680968669665
1237655743476334659,SDSS J140805.16+062326.45,212.0215,6.39068,18.91,0.02,DBA,14800,124,8.149,0.00662035124474422
1237662263789027375,SDSS J154317.11+062327.64,235.8213,6.39101,18.77,0.01,DA,17040,145,7.988,0.000635616115382663
1237669679573499995,SDSS J232542.30+062337.95,351.4262,6.39388,18.9,0.01,DA,18625,140,8.927,0.000741468629237217
1237658422487875628,SDSS J115132.06+062348.32,177.8836,6.39676,18.01,0.01,DA,16363,20,8.036,0.00773201360243842
1237662268610117906,SDSS J150430.85+062457.96,226.1285,6.4161,18.17,0.03,DA,31207,124,8.104,0.00152774395932416
1237669679574810650,SDSS J233719.19+062504.04,354.33,6.41779,18.5,0.02,He-sdO,45000,5000,6.5,0.000247236459533363
1237662263789420570,SDSS J154641.88+062539.29,236.6745,6.42758,17.68,0.01,He-sdB,12887,49,7,0.00135907198786927
1237662267531591682,SDSS J141953.09+062550.02,214.9712,6.43056,18.36,0.02,DA,19990,135,7.947,0.0066867188583564
1237669516369461332,SDSS J001232.66+062601.46,3.13608,6.43374,18.91,0.01,DA,19973,230,8.038,0.000576756939099165
1237661971196608534,SDSS J140125.92+062641.28,210.358,6.4448,18.93,0.02,DA,22849,251,8.061,0.002086673434037
1237678853623251049,SDSS J212801.67+062719.55,322.007,6.45543,17.92,0.03,DAO/sdO,57273,2668,5.43,0.000614779110146869
1237669763329884376,SDSS J214536.12+062726.75,326.4005,6.45743,17.92,0.02,DAH,24219,175,8.14,0.00144108766397304
1237661063871135854,SDSS J084324.14+062842.18,130.8506,6.47838,18.58,0.01,DAH,23664,245,8.192,0.000712218920455094
1237661974401843301,SDSS J123953.53+062853.11,189.973,6.48142,16.99,0.02,DAB,24184,197,5,0.000920579222539158
1237669763330998580,SDSS J215526.40+063104.51,328.86,6.51792,18.88,0.02,DA,11660,97,8.366,0.00280053049917773
1237662263250386963,SDSS J152643.13+063149.94,231.6797,6.53054,17.84,0.01,DA,24747,132,8.166,0.00208750240310057
1237669697303740603,SDSS J230501.79+063225.12,346.2574,6.54031,17.1,0.02,DA,70049,1158,8.233,0.000820486538639747
1237669762262892600,SDSS J224726.40+063225.76,341.86,6.54049,18.93,0.02,DA,94206,4050,7.84,0.00145262643797007
1237661970654625864,SDSS J131442.47+063229.33,198.677,6.54148,18.98,0.01,DA-He,13250,1000,9.5,0.00653032047508375
1237669679579660311,SDSS J002150.17+063438.29,5.45904,6.5773,17.44,0.01,DA,14175,150,8.374,0.00620215920001525
1237678433794850844,SDSS J005134.73+063447.80,12.89471,6.57994,18.34,0.01,DA,25648,260,8.027,0.00221754487303661
1237678434868199601,SDSS J004605.62+063513.44,11.52342,6.58707,18.83,0.01,DZ,8087,500,8,0.000729844074806024
1237662236410773744,SDSS J150624.57+063527.17,226.6024,6.59088,18.93,0.02,DA,20712,204,8.13,0.000597415176889628
1237661064407154903,SDSS J083537.13+063534.19,128.9047,6.59283,16.98,0.01,DAO,44581,1120,5.284,0.00146585831939601
1237662237487202389,SDSS J153122.98+063539.34,232.8457,6.59426,17.89,0.02,DA,18672,91,8.546,0.00244533785819449
1237661974401974416,SDSS J124058.10+063645.90,190.2421,6.61275,18.71,0.02,DAH:,15954,146,8.24,0.00505431590582157
1237660669806313667,SDSS J083425.05+063722.22,128.6044,6.62284,15.49,0.02,sdB,23269,150,5,0.00192602113910505
1237678854159729173,SDSS J212422.46+063853.39,321.0936,6.64816,18.87,0.01,DC,10527,1000,9,0.000532625720600718
1237658424087937041,SDSS J101421.47+063857.05,153.5895,6.64918,18.51,0.02,CV,10198,120,9.47,0.0232060995911708
1237661970643484731,SDSS J113223.56+064008.51,173.0982,6.66903,18.72,0.02,DAH:,20200,154,8,0.00345941261117374
1237669766011551792,SDSS J004613.38+064124.00,11.55575,6.69,18.89,0.01,DB,17763,350,7.881,0.00128645359796422
1237662236410052777,SDSS J150011.76+064211.48,225.049,6.70319,17.02,0.01,A/DAZ,31504,128,5.455,0.00216273775987156
1237670015654756417,SDSS J015525.57+064233.41,28.85654,6.70928,17.93,0.02,DA,28805,99,7.99,0.000700870676043943
1237669766013648942,SDSS J010532.40+064234.18,16.385,6.70949,18.96,0.01,DB,13787,87,8,0.000522830438660577
1237678723164995622,SDSS J213648.79+064320.24,324.2033,6.72229,17.95,0.02,DA,19269,104,8.021,0.00310692776953729
1237669516907511865,SDSS J002335.57+064325.57,5.89821,6.72377,18.61,0.02,DA,7114,60,7.62,0.000761933749639758
1237662246059573257,SDSS J140346.11+064442.90,210.9421,6.74525,17.45,0.01,DC,6600,500,8,0.00129207159249622
1237678723165978859,SDSS J214620.13+064444.38,326.5839,6.74566,18.47,0.02,DA,24505,170,8.024,0.00103856531246272
1237669516905742366,SDSS J000652.87+064536.85,1.72029,6.76024,18.74,0.01,DA,25819,320,7.962,0.00270121723958397
1237669680111681634,SDSS J233725.50+064603.04,354.3563,6.76751,18.2,0.02,He-sdO,89046,4562,5.08,0.000781103396371652
1237669766012141616,SDSS J005149.40+064705.93,12.95583,6.78498,18.39,0.02,DA,47698,983,8.139,0.00130789397634575
1237662263787847862,SDSS J153230.28+064720.22,233.1262,6.78895,17.12,0.01,DA,24869,118,8.03,0.00633557286083628
1237662264864080252,SDSS J155544.77+064730.07,238.9365,6.79169,18.99,0.01,DA,5437,1000,8,0.000584494715323789
1237669697839169542,SDSS J225113.21+064808.88,342.8051,6.80247,18.02,0.01,DA,17149,70,8.093,0.00379783135163637
1237658492261826594,SDSS J091825.04+064820.74,139.6043,6.80576,18.94,0.01,DAH:,24779,290,8.107,0.00145835752229023
1237669698906751015,SDSS J215429.39+064836.76,328.6225,6.81021,18.39,0.02,DA,30505,116,8.034,0.00257379375522791
1237669516905611311,SDSS J000552.03+064920.24,1.46679,6.82229,16.62,0.01,sdB,25314,178,5,0.00152106908644875
1237661971733020734,SDSS J135728.14+065038.44,209.3672,6.84401,17.7,0.02,DAO,37278,441,5.01,0.000495552940470414
1237660669806837798,SDSS J083838.53+065240.08,129.6605,6.8778,16.86,0.01,DA,81029,2084,7.76,0.000960467021529815
1237661974937731084,SDSS J123025.63+065248.97,187.6068,6.88027,18.35,0.02,DA,28723,145,7.787,0.00308015760490774
1237667228218818661,SDSS J013518.24+065324.76,23.826,6.89021,18.4,0.02,DA,33467,171,7.979,0.00134769573951899
1237662268067741763,SDSS J141338.43+065429.27,213.4101,6.90813,18.36,0.03,DA,20537,161,8.031,0.0110119500178267
1237678853624889604,SDSS J214300.68+065443.52,325.7528,6.91209,18.86,0.02,DA,17646,115,8.089,0.000770121220751625
1237662199363797059,SDSS J160935.76+065509.90,242.399,6.91942,17.73,0.01,DQ,7860,23,8,0.000370087207035494
1237662238562648120,SDSS J154724.19+065522.80,236.8508,6.923,18.27,0.02,DA,22026,162,7.903,0.00972917280534798
1237669762799960133,SDSS J224925.29+065646.54,342.3554,6.94626,16.54,0.02,DA,98246,1915,5,0.000492426810129082
1237658423023370267,SDSS J113902.88+065716.81,174.762,6.95467,18.98,0.02,B/sdB,32594,357,5.631,0.0024056920673665
1237658299536310374,SDSS J105431.09+065950.39,163.6295,6.99733,18.92,0.02,DA,22901,291,8.117,0.00354130579674003
1237655744551846016,SDSS J142444.45+070128.38,216.1852,7.02455,18.99,0.02,DA,20790,266,7.823,0.00528817931872345
1237662263787258080,SDSS J152724.61+070128.56,231.8525,7.0246,18.13,0.01,DA,27711,178,8.168,0.00168350529671518
1237662268606185533,SDSS J142819.20+070153.94,217.08,7.03165,18.4,0.02,DA,17774,148,8.079,0.00195470773603302
1237661971179896836,SDSS J112736.12+070315.26,171.9005,7.05424,18.78,0.03,DAB/sdB,23898,283,5,0.0012105811339906
1237661971180879921,SDSS J113654.22+070336.18,174.2259,7.06005,16.89,0,DBA,18699,56,8.216,0.0107719848829619
1237669680115941539,SDSS J001654.25+070430.04,4.22604,7.07501,15.88,0.02,sdO,34123,162,5.49,0.000204487332875112
1237662198825484409,SDSS J155625.91+070435.54,239.108,7.07654,18.99,0.01,DA,27864,232,8.049,0.00508744193021553
1237658492263137358,SDSS J093042.39+070453.70,142.6766,7.08158,18.91,0.01,DA,26193,190,7.97,0.00364135258175449
1237669766549340179,SDSS J005443.84+070921.25,13.68267,7.1559,18.41,0.01,DA+M1,33354,355,7.79,0.00135609887934539
1237662246595854362,SDSS J135831.80+070929.70,209.6325,7.15825,18.63,0.02,DA,24650,240,7.984,0.0054913659160347
1237660669807427624,SDSS J084404.83+070942.87,131.0201,7.16191,16.25,0,DA,32074,80,7.991,0.000241118675370392
1237662198825222287,SDSS J155404.94+071103.16,238.5206,7.18421,18.12,0.01,DA+M4,18756,226,8.08,0.00322850254969288
1237667228756410432,SDSS J014147.15+071130.65,25.44646,7.19185,16.55,0,DB,10084,56,8,0.00849818834988699
1237661950816878770,SDSS J161531.47+071150.71,243.8811,7.19742,17.18,0.01,DA,21223,97,8.075,0.00320700613014434
1237671990801727504,SDSS J132840.06+071208.57,202.1669,7.20238,18.07,0.02,sdB,22961,262,5,0.0011852680383618
1237669517442416701,SDSS J000515.58+071313.71,1.31492,7.22048,17.94,0.01,DB,18601,200,8.004,0.0024725328965229
1237661971185270956,SDSS J121734.66+071415.76,184.3944,7.23771,18.1,0.02,DAB/sdB,22520,282,5,0.00253897585844069
1237662262170878041,SDSS J143350.80+071452.22,218.4617,7.24784,16.8,0.02,DBAZ,12235,161,8.444,0.00698192600487662
1237667229295312920,SDSS J020022.76+071459.71,30.09483,7.24992,18.83,0.01,DQ:/Cstar,8000,290,8,0.000625582467889782
1237662263786340510,SDSS J151902.42+071535.35,229.7601,7.25982,18.69,0.01,A/sdB,30414,338,5.361,0.00114617264952535
1237669680651370545,SDSS J000310.38+071801.11,0.79325,7.30031,18.28,0.01,DA,30455,130,8.116,0.00291007700702125
1237662636377440329,SDSS J161725.34+071838.27,244.3556,7.31063,18.38,0.02,DA,19157,129,8.128,0.00083870657291616
1237662246594019342,SDSS J134133.71+071849.68,205.3905,7.3138,18.51,0.02,sdO,37278,965,5.14,0.00124244094865447
1237678853627510869,SDSS J220714.41+072232.18,331.81,7.37561,14.48,0,sdOB,31576,1000,6.5,0.0029958336112428
1237661971728367624,SDSS J131427.93+072250.27,198.6164,7.38063,17.72,0.02,DA,19646,113,7.87,0.00648517505134456
1237662262169895042,SDSS J142508.61+072405.29,216.2859,7.40147,17.54,0.03,DAB,21529,193,5,0.00114570004406152
1237662237484580952,SDSS J150737.71+072416.38,226.9071,7.40455,17.14,0.01,sdO,36285,313,5.55,0.00226234812203834
1237662246593560629,SDSS J133738.54+072440.18,204.4106,7.41116,18.4,0.01,DAH,19019,158,7.99,0.0020317753835596
1237662247133053040,SDSS J140203.87+072539.00,210.5161,7.4275,15.83,0.02,sdB,34077,115,5.52,0.00224421388502778
1237662264861982934,SDSS J153643.90+072615.86,234.1829,7.43774,18.84,0.02,DA,7213,51,8.852,0.00357117771413211
1237662237484253225,SDSS J150416.61+072731.03,226.0692,7.45862,16.85,0.02,DA,19691,73,8.277,0.00213036386224698
1237662198286254156,SDSS J153431.80+072910.07,233.6325,7.48613,17.89,0.01,sdO,43902,727,5,0.00312400343418044
1237660583368785952,SDSS J095259.11+073106.38,148.2463,7.51844,15.79,0.03,DA,15734,41,8.088,0.0147148638734794
1237661971724763146,SDSS J124120.04+073121.43,190.3335,7.52262,18.31,0.02,DA,13821,109,8.463,0.00298378496813989
1237662636914507992,SDSS J161945.15+073156.64,244.9381,7.5324,16.22,0.01,He-sdO,49460,243,6.75,0.000295589270001724
1237661950816026807,SDSS J160748.21+073228.90,241.9509,7.54136,18.36,0.02,DA,71271,2180,8.188,0.00455542830117429
1237669767085752391,SDSS J005014.32+073236.96,12.55967,7.5436,17.03,0,DA,17102,87,8.01,0.00506353162939176
1237660412115681359,SDSS J093545.64+073308.60,143.9402,7.55239,18.89,0.02,DA,20360,262,7.938,0.00472803316504041
1237667229293281325,SDSS J014200.46+073350.69,25.50192,7.56408,18.36,0.02,DB,15962,62,8.02,0.00450392923921192
1237667229292232832,SDSS J013210.48+073724.38,23.04367,7.62344,17.33,0.01,DA,16432,56,8.113,0.00896217481625986
1237671990801334288,SDSS J132715.74+080055.22,201.8156,8.01534,17.84,0.02,DAZ,11253,276,9.54,0.0103215051823855
1237669517979025436,SDSS J000243.16+073856.25,0.67983,7.64896,17.52,0.01,DA,20153,80,8.178,0.000862755636213691
1237667229293019146,SDSS J013909.83+073941.58,24.79096,7.66155,18.72,0.02,DA,14212,107,8.151,0.0038633376126708
1237669767083130937,SDSS J002624.65+074113.85,6.60271,7.68718,18.69,0.02,DAB:,12040,138,7.13,0.000864449467341489
1237662263784898584,SDSS J150524.35+074127.31,226.3515,7.69092,17.31,0.01,DA,16260,42,8.09,0.00373262424121345
1237670016727056411,SDSS J014153.58+074314.02,25.47325,7.72056,18.42,0.02,DAB,8585,31,9.28,0.00624346921037479
1237662263784833139,SDSS J150501.20+074416.40,226.255,7.73789,18.4,0.01,DA,24434,242,8.076,0.00142818593820951
1237661950277779623,SDSS J155512.50+074554.22,238.8021,7.76506,18.03,0.01,DA,21117,203,7.851,0.00321731946215525
1237668348149301344,SDSS J162035.73+074712.08,245.1489,7.78669,16.59,0.01,A/sdB,30532,121,5.062,0.00027369118181256
