#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J152643.13+063149.94,231.67971,6.53054,17.84, 0.01,DA, 24747,  132, 8.166
SDSS J230501.79+063225.12,346.25746,6.54031,17.1, 0.02,DA, 70049, 1158, 8.233
SDSS J224726.40+063225.76,341.86,6.54049,18.93, 0.02,DA, 94206, 4050, 7.840
SDSS J131442.47+063229.33,198.67696,6.54148,18.98, 0.01,DA-He, 13250, 1000, 9.500
SDSS J002150.17+063438.29,5.45904,6.5773,17.44, 0.01,DA, 14175,  150, 8.374
SDSS J005134.73+063447.80,12.89471,6.57994,18.34, 0.01,DA, 25648,  260, 8.027
SDSS J004605.62+063513.44,11.52342,6.58707,18.83, 0.01,DZ,  8087,  500, 8.000
SDSS J150624.57+063527.17,226.60237,6.59088,18.93, 0.02,DA, 20712,  204, 8.130
SDSS J083537.13+063534.19,128.90471,6.59283,16.98, 0.01,DAO, 44581, 1120, 5.284
SDSS J153122.98+063539.34,232.84575,6.59426,17.89, 0.02,DA, 18672,   91, 8.546
SDSS J124058.10+063645.90,190.24208,6.61275,18.71, 0.02,DAH:, 15954,  146, 8.240
SDSS J083425.05+063722.22,128.60438,6.62284,15.49, 0.02,sdB, 23269,  150, 5.000
SDSS J212422.46+063853.39,321.09358,6.64816,18.87, 0.01,DC, 10527, 1000, 9.000
SDSS J101421.47+063857.05,153.58946,6.64918,18.51, 0.02,CV, 10198,  120, 9.470
SDSS J113223.56+064008.51,173.09817,6.66903,18.72, 0.02,DAH:, 20200,  154, 8.000
SDSS J004613.38+064124.00,11.55575,6.69,18.89, 0.01,DB, 17763,  350, 7.881
SDSS J150011.76+064211.48,225.049,6.70319,17.02, 0.01,A/DAZ, 31504,  128, 5.455
SDSS J015525.57+064233.41,28.85654,6.70928,17.93, 0.02,DA, 28805,   99, 7.990
SDSS J010532.40+064234.18,16.385,6.70949,18.96, 0.01,DB, 13787,   87, 8.000
SDSS J213648.79+064320.24,324.20329,6.72229,17.95, 0.02,DA, 19269,  104, 8.021
SDSS J002335.57+064325.57,5.89821,6.72377,18.61, 0.02,DA,  7114,   60, 7.620
SDSS J140346.11+064442.90,210.94213,6.74525,17.45, 0.01,DC,  6600,  500, 8.000
SDSS J214620.13+064444.38,326.58387,6.74566,18.47, 0.02,DA, 24505,  170, 8.024
SDSS J000652.87+064536.85,1.72029,6.76024,18.74, 0.01,DA, 25819,  320, 7.962
SDSS J233725.50+064603.04,354.35625,6.76751,18.2, 0.02,He-sdO, 89046, 4562, 5.080
SDSS J005149.40+064705.93,12.95583,6.78498,18.39, 0.02,DA, 47698,  983, 8.139
SDSS J153230.28+064720.22,233.12617,6.78895,17.12, 0.01,DA, 24869,  118, 8.030
SDSS J155544.77+064730.07,238.93654,6.79169,18.99, 0.01,DA,  5437, 1000, 8.000
SDSS J225113.21+064808.88,342.80504,6.80247,18.02, 0.01,DA, 17149,   70, 8.093
SDSS J091825.04+064820.74,139.60433,6.80576,18.94, 0.01,DAH:, 24779,  290, 8.107
SDSS J215429.39+064836.76,328.62246,6.81021,18.39, 0.02,DA, 30505,  116, 8.034
SDSS J000552.03+064920.24,1.46679,6.82229,16.62, 0.01,sdB, 25314,  178, 5.000
SDSS J135728.14+065038.44,209.36725,6.84401,17.7, 0.02,DAO, 37278,  441, 5.010
SDSS J083838.53+065240.08,129.66054,6.8778,16.86, 0.01,DA, 81029, 2084, 7.760
SDSS J123025.63+065248.97,187.60679,6.88027,18.35, 0.02,DA, 28723,  145, 7.787
SDSS J013518.24+065324.76,23.826,6.89021,18.4, 0.02,DA, 33467,  171, 7.979
SDSS J141338.43+065429.27,213.41012,6.90813,18.36, 0.03,DA, 20537,  161, 8.031
SDSS J214300.68+065443.52,325.75283,6.91209,18.86, 0.02,DA, 17646,  115, 8.089
SDSS J160935.76+065509.90,242.399,6.91942,17.73, 0.01,DQ,  7860,   23, 8.000
SDSS J154724.19+065522.80,236.85079,6.923,18.27, 0.02,DA, 22026,  162, 7.903
SDSS J224925.29+065646.54,342.35537,6.94626,16.54, 0.02,DA, 98246, 1915, 5.000
SDSS J113902.88+065716.81,174.762,6.95467,18.98, 0.02,B/sdB, 32594,  357, 5.631
SDSS J105431.09+065950.39,163.62954,6.99733,18.92, 0.02,DA, 22901,  291, 8.117
SDSS J142444.45+070128.38,216.18521,7.02455,18.99, 0.02,DA, 20790,  266, 7.823
SDSS J152724.61+070128.56,231.85254,7.0246,18.13, 0.01,DA, 27711,  178, 8.168
SDSS J142819.20+070153.94,217.08,7.03165,18.4, 0.02,DA, 17774,  148, 8.079
SDSS J112736.12+070315.26,171.9005,7.05424,18.78, 0.03,DAB/sdB, 23898,  283, 5.000
SDSS J113654.22+070336.18,174.22592,7.06005,16.89, 0.00,DBA, 18699,   56, 8.216
SDSS J001654.25+070430.04,4.22604,7.07501,15.88, 0.02,sdO, 34123,  162, 5.490
SDSS J155625.91+070435.54,239.10796,7.07654,18.99, 0.01,DA, 27864,  232, 8.049
SDSS J093042.39+070453.70,142.67663,7.08158,18.91, 0.01,DA, 26193,  190, 7.970
SDSS J005443.84+070921.25,13.68267,7.1559,18.41, 0.01,DA+M1, 33354,  355, 7.790
SDSS J135831.80+070929.70,209.6325,7.15825,18.63, 0.02,DA, 24650,  240, 7.984
SDSS J084404.83+070942.87,131.02013,7.16191,16.25, 0.00,DA, 32074,   80, 7.991
SDSS J155404.94+071103.16,238.52058,7.18421,18.12, 0.01,DA+M4, 18756,  226, 8.080
SDSS J014147.15+071130.65,25.44646,7.19185,16.55, 0.00,DB, 10084,   56, 8.000
SDSS J161531.47+071150.71,243.88112,7.19742,17.18, 0.01,DA, 21223,   97, 8.075
SDSS J132840.06+071208.57,202.16692,7.20238,18.07, 0.02,sdB, 22961,  262, 5.000
SDSS J000515.58+071313.71,1.31492,7.22048,17.94, 0.01,DB, 18601,  200, 8.004
SDSS J121734.66+071415.76,184.39442,7.23771,18.1, 0.02,DAB/sdB, 22520,  282, 5.000
SDSS J143350.80+071452.22,218.46167,7.24784,16.8, 0.02,DBAZ, 12235,  161, 8.444
SDSS J020022.76+071459.71,30.09483,7.24992,18.83, 0.01,DQ:/Cstar,  8000,  290, 8.000
SDSS J151902.42+071535.35,229.76008,7.25982,18.69, 0.01,A/sdB, 30414,  338, 5.361
SDSS J000310.38+071801.11,0.79325,7.30031,18.28, 0.01,DA, 30455,  130, 8.116
SDSS J161725.34+071838.27,244.35558,7.31063,18.38, 0.02,DA, 19157,  129, 8.128
SDSS J134133.71+071849.68,205.39046,7.3138,18.51, 0.02,sdO, 37278,  965, 5.140
SDSS J220714.41+072232.18,331.81004,7.37561,14.48, 0.00,sdOB, 31576, 1000, 6.500
SDSS J131427.93+072250.27,198.61638,7.38063,17.72, 0.02,DA, 19646,  113, 7.870
SDSS J142508.61+072405.29,216.28588,7.40147,17.54, 0.03,DAB, 21529,  193, 5.000
SDSS J150737.71+072416.38,226.90713,7.40455,17.14, 0.01,sdO, 36285,  313, 5.550
SDSS J133738.54+072440.18,204.41058,7.41116,18.4, 0.01,DAH, 19019,  158, 7.990
SDSS J140203.87+072539.00,210.51612,7.4275,15.83, 0.02,sdB, 34077,  115, 5.520
SDSS J153643.90+072615.86,234.18292,7.43774,18.84, 0.02,DA,  7213,   51, 8.852
SDSS J150416.61+072731.03,226.06921,7.45862,16.85, 0.02,DA, 19691,   73, 8.277
SDSS J153431.80+072910.07,233.6325,7.48613,17.89, 0.01,sdO, 43902,  727, 5.000
SDSS J095259.11+073106.38,148.24629,7.51844,15.79, 0.03,DA, 15734,   41, 8.088
SDSS J124120.04+073121.43,190.3335,7.52262,18.31, 0.02,DA, 13821,  109, 8.463
SDSS J161945.15+073156.64,244.93813,7.5324,16.22, 0.01,He-sdO, 49460,  243, 6.750
SDSS J160748.21+073228.90,241.95087,7.54136,18.36, 0.02,DA, 71271, 2180, 8.188
SDSS J005014.32+073236.96,12.55967,7.5436,17.03, 0.00,DA, 17102,   87, 8.010
SDSS J093545.64+073308.60,143.94017,7.55239,18.89, 0.02,DA, 20360,  262, 7.938
SDSS J014200.46+073350.69,25.50192,7.56408,18.36, 0.02,DB, 15962,   62, 8.020
SDSS J013210.48+073724.38,23.04367,7.62344,17.33, 0.01,DA, 16432,   56, 8.113
SDSS J132715.74+080055.22,201.81558,8.01534,17.84, 0.02,DAZ, 11253,  276, 9.540
SDSS J000243.16+073856.25,0.67983,7.64896,17.52, 0.01,DA, 20153,   80, 8.178
SDSS J013909.83+073941.58,24.79096,7.66155,18.72, 0.02,DA, 14212,  107, 8.151
SDSS J002624.65+074113.85,6.60271,7.68718,18.69, 0.02,DAB:, 12040,  138, 7.130
SDSS J150524.35+074127.31,226.35146,7.69092,17.31, 0.01,DA, 16260,   42, 8.090
SDSS J014153.58+074314.02,25.47325,7.72056,18.42, 0.02,DAB,  8585,   31, 9.280
SDSS J150501.20+074416.40,226.255,7.73789,18.4, 0.01,DA, 24434,  242, 8.076
SDSS J155512.50+074554.22,238.80208,7.76506,18.03, 0.01,DA, 21117,  203, 7.851
SDSS J162035.73+074712.08,245.14888,7.78669,16.59, 0.01,A/sdB, 30532,  121, 5.062
SDSS J160651.52+074752.12,241.71467,7.79781,18.8, 0.02,DB, 12265,   97, 8.000
SDSS J010055.33+074758.85,15.23054,7.79968,18.98, 0.01,DA+M4, 21045,  557, 7.910
SDSS J160043.59+074802.84,240.18162,7.80079,17.41, 0.02,He-sdO, 47103,  836, 5.000
SDSS J134559.13+074854.14,206.49638,7.81504,18.51, 0.03,DA, 51474, 1127, 7.812
SDSS J091052.28+074934.68,137.71783,7.8263,18.97, 0.02,B/sdB, 34395,  376, 5.857
SDSS J152334.34+075310.93,230.89308,7.88637,18.81, 0.02,DA, 26722,  245, 8.082
SDSS J000835.10+075324.53,2.14625,7.89015,18.33, 0.01,DA, 26747,  110, 8.027
SDSS J000603.79+075514.28,1.51579,7.92063,18, 0.01,DAH,  9000, 1000, 8.250
SDSS J141306.54+075522.98,213.27725,7.92305,15.53, 0.02,DA, 15290,   92, 8.668
SDSS J120439.96+075916.08,181.1665,7.9878,18.01, 0.02,DAZ, 10772,  157, 9.850
SDSS J153026.10+080027.90,232.60875,8.00775,18.01, 0.02,DAZ, 10537,  247, 9.720
SDSS J160345.26+080153.22,240.93858,8.03145,17.91, 0.02,DAO, 33758,  317, 5.440
SDSS J152704.26+080236.49,231.76775,8.04347,17.85, 0.02,A/DAZ, 29560,  173, 5.000
SDSS J005310.24+080500.71,13.29267,8.08353,18.4, 0.01,DA, 24672,  210, 8.139
SDSS J095703.09+080504.85,149.26288,8.08468,17.63, 0.01,DA, 11606,   42, 8.610
SDSS J152306.96+080541.24,230.779,8.09479,18.78, 0.02,He-sdB, 39937, 1424, 5.410
SDSS J134748.59+080616.20,206.95246,8.1045,18.29, 0.02,DAB:, 31441,  275, 5.470
SDSS J013104.20+080843.01,22.7675,8.14528,17.33, 0.02,DA, 19279,   70, 8.031
SDSS J120606.00+080943.16,181.525,8.16199,15.88, 0.03,He-sdO, 50000,   50, 7.000
SDSS J003433.17+080959.99,8.63821,8.16666,18.1, 0.01,DA,  9633,   20, 8.587
SDSS J144837.44+081222.54,222.156,8.20626,16.28, 0.01,A/sdB, 31999,   92, 5.527
SDSS J154218.18+081301.78,235.57575,8.21716,18.15, 0.02,DA, 93248, 2456, 8.082
SDSS J133756.50+081312.00,204.48542,8.22,18.12, 0.02,DA, 20869,  131, 8.005
SDSS J141739.30+081541.26,214.41375,8.26146,18.82, 0.02,DB, 22971,  492, 7.842
SDSS J095022.03+081557.53,147.59179,8.26598,18.8, 0.02,sdB, 35220,  763, 5.680
SDSS J093245.91+081618.55,143.19129,8.27182,16.21, 0.01,sdO, 33466,  200, 5.700
SDSS J153647.76+081826.57,234.199,8.30738,18.46, 0.02,DA, 16739,  146, 8.055
SDSS J090827.08+092100.22,137.11283,9.35006,17.93, 0.02,DAH:,100000,  794,10
SDSS J140356.97+082047.08,210.98737,8.34641,18.23, 0.02,DB, 16003,   67, 8.006
SDSS J161442.26+082145.29,243.67608,8.36258,16.88, 0.02,DAO/sdO, 41210,  472, 5.010
SDSS J001624.09+082157.09,4.10037,8.36586,18.3, 0.01,DA, 16451,   20, 7.940
SDSS J101711.56+082235.29,154.29817,8.37647,18.75, 0.02,DA, 22592,  239, 7.813
SDSS J000746.92+082236.08,1.9455,8.37669,16.93, 0.01,DA, 16624,   50, 8.115
SDSS J124421.44+082305.60,191.08933,8.38489,17.08, 0.02,DA, 18913,   66, 8.105
SDSS J113859.72+082305.93,174.74883,8.38498,18.48, 0.03,DA, 19250,  122, 8.037
SDSS J104205.60+082422.25,160.52333,8.40618,17.61, 0.01,DA, 18361,   86, 8.173
SDSS J084328.88+082438.27,130.87033,8.41063,16.21, 0.02,DAZ, 26582,  168, 5.630
SDSS J102106.66+082724.48,155.27775,8.4568,17.63, 0.02,DB, 23338,  205, 7.905
SDSS J121735.22+082810.06,184.39675,8.46946,16.54, 0.01,DAH, 20024,   64, 9.450
SDSS J105551.48+082846.20,163.9645,8.4795,16.89, 0.02,DA, 16634,   64, 8.127
SDSS J114604.93+082934.87,176.52054,8.49302,18.07, 0.03,He-sdO, 50000,  149, 7.110
SDSS J003115.10+083004.83,7.81292,8.50134,18.91, 0.01,DBA, 13727,   97, 8.000
SDSS J162650.27+083026.28,246.70946,8.5073,18.61, 0.02,DB, 11310,   89, 8.000
SDSS J160401.31+083109.01,241.00546,8.51917,18.56, 0.02,DBAZ, 12300,  299, 8.620
SDSS J002153.33+083141.82,5.47221,8.52828,18.78, 0.01,DB, 16720,   11, 7.899
SDSS J235751.84+083156.78,359.466,8.53244,18.74, 0.01,DA, 18895,  200, 7.954
SDSS J142413.37+083316.45,216.05571,8.55457,17.7, 0.01,DQ:, 12000, 1000, 8.000
SDSS J162838.42+083328.91,247.16008,8.55803,18.85, 0.02,DA, 59129, 2339, 8.040
SDSS J010901.58+083354.67,17.25658,8.56519,18.76, 0.01,DB, 16000,   89, 7.958
SDSS J093024.62+083406.67,142.60258,8.56852,18.52, 0.01,DB, 12126,   81, 8.000
SDSS J120324.13+083409.92,180.85054,8.56942,18.04, 0.01,DZ,  6406,  190, 8.000
SDSS J144843.55+083522.31,222.18146,8.58953,15.88, 0.02,DA, 81270, 1623, 7.426
SDSS J154811.34+083613.21,237.04725,8.60367,18.6, 0.01,DB, 19260,  168, 7.900
SDSS J124352.76+083616.52,190.96983,8.60459,18.17, 0.03,DA, 15879,   82, 8.060
SDSS J131425.19+083648.88,198.60496,8.61358,18.94, 0.01,DB, 11719,  134, 8.000
SDSS J122723.00+083652.34,186.84583,8.61454,16.37, 0.02,DA, 16059,   51, 8.107
SDSS J154651.81+083729.06,236.71588,8.62474,18.54, 0.01,DA, 17516,  128, 8.066
SDSS J125740.73+083750.34,194.41971,8.63065,16.54, 0.01,B/sdB, 30082,  147, 5.372
SDSS J135446.88+083930.17,208.69533,8.65838,17.94, 0.02,DA, 85472, 2977, 8.184
SDSS J132813.80+084157.50,202.0575,8.69931,18.85, 0.01,DC:, 11380, 1000, 7.968
SDSS J101308.41+084248.17,153.28504,8.71338,18.22, 0.02,DAH:, 18215,  145, 8.040
SDSS J110205.12+084343.46,165.52133,8.72874,18.99, 0.02,DA, 21023,  273, 7.572
SDSS J101452.85+084358.44,153.72021,8.7329,18.9, 0.02,DA, 18399,  178, 8.079
SDSS J145452.84+084640.66,223.72017,8.77796,16.89, 0.01,DB, 15571,   46, 8.118
SDSS J161210.89+084732.78,243.04538,8.79244,18.31, 0.01,DA, 30891,  153, 7.776
SDSS J125810.07+084834.88,194.54196,8.80969,18.55, 0.02,DAB:, 23226,  343, 5.000
SDSS J005505.42+085030.55,13.77258,8.84182,18.62, 0.01,DQ, 10277, 1000, 8.000
SDSS J145810.17+085124.23,224.54237,8.85673,18.19, 0.02,DA, 17557,  139, 8.005
SDSS J113857.47+085242.24,174.73946,8.8784,18.22, 0.03,DA, 14593,  195, 8.175
SDSS J143458.49+085425.74,218.74371,8.90715,16.12, 0.02,DAZ, 27186,  109, 5.643
SDSS J121235.73+085449.25,183.14888,8.91368,18.41, 0.02,DA, 17515,  125, 8.000
SDSS J123004.20+085616.58,187.5175,8.93794,18.98, 0.02,DA, 17223,  103, 8.169
SDSS J160553.66+085954.42,241.47358,8.99845,18.21, 0.02,DA+M4, 25012,  439, 8.220
SDSS J212521.79+090007.53,321.34079,9.00209,18.98, 0.01,DC,  8610,  500, 9.000
SDSS J161254.97+090341.15,243.22904,9.06143,18.38, 0.02,DA, 20369,  139, 8.734
SDSS J093139.86+090407.68,142.91608,9.0688,18.85, 0.02,DA, 17308,  184, 7.956
SDSS J004511.19+090445.37,11.29663,9.07927,18.07, 0.03,DA,  7564,   34, 8.110
SDSS J120844.86+090529.44,182.18692,9.09151,18.95, 0.02,DA, 19294,  173, 7.947
SDSS J121029.23+090553.99,182.62179,9.09833,17.94, 0.03,He-sdO, 47547,   45, 7.000
SDSS J093329.42+090554.56,143.37258,9.09849,18.48, 0.02,DB, 15947,   89, 8.228
SDSS J112605.80+090628.76,171.52417,9.10799,17.92, 0.01,DAH:, 10167,  103, 8.810
SDSS J145141.40+090645.22,222.9225,9.11256,17.36, 0.02,DAB:, 22744,  205, 5.000
SDSS J090215.05+090736.08,135.56271,9.12669,17.36, 0.02,DA, 15770,   78, 8.152
SDSS J144210.30+091007.39,220.54292,9.16872,17.99, 0.02,DA, 23685,  128, 7.944
SDSS J094758.91+091012.14,146.99546,9.17004,16.96, 0.02,He-sdB, 34426,  282, 5.420
SDSS J095601.68+091137.75,149.007,9.19382,18.48, 0.02,He-sdO, 49363,  242, 7.000
SDSS J090308.39+091241.22,135.78496,9.21145,17.44, 0.02,DA, 20283,   92, 8.046
SDSS J150230.30+091357.25,225.62625,9.23257,17.28, 0.01,sdO, 33735,  203, 5.510
SDSS J113125.25+091412.23,172.85521,9.23673,18.83, 0.02,DA, 22575,  270, 8.601
SDSS J110436.70+091822.14,166.15292,9.30615,16.66, 0.02,DA, 17049,   68, 7.543
SDSS J104546.43+091825.16,161.44346,9.30699,17.9, 0.02,DA, 28989,  119, 7.985
SDSS J143452.22+091835.35,218.71758,9.30982,18.9, 0.02,DB, 13477,   67, 8.000
SDSS J134633.40+091836.80,206.63917,9.31022,18.78, 0.01,DA,  6000, 1000, 8.094
SDSS J141013.02+091938.93,212.55425,9.32748,17.85, 0.02,He-sdO, 50000,   24, 6.500
SDSS J120455.22+091945.01,181.23008,9.32917,18.66, 0.02,DA, 19582,  157, 7.857
SDSS J153821.66+092006.76,234.59025,9.33521,18.08, 0.02,DBA, 18350,   70, 8.132
SDSS J105427.62+092128.80,163.61508,9.358,17.43, 0.02,DA, 58248, 1034, 7.714
SDSS J020030.43+092222.21,30.12679,9.37284,18.71, 0.01,DC, 10263,  350, 7.548
SDSS J112905.44+092327.85,172.27267,9.39107,17.83, 0.03,DA, 18172,   96, 7.748
SDSS J155155.11+092344.02,237.97962,9.39556,18.62, 0.02,He-sdO, 48415,  233, 7.010
SDSS J155820.51+092344.52,239.58546,9.3957,18.4, 0.02,DAB:, 23562,  253, 5.000
SDSS J150957.07+092349.20,227.48779,9.397,18.59, 0.02,DAH:, 10240,  133, 9.180
SDSS J093444.55+092443.31,143.68562,9.41203,17.42, 0.02,DBA, 17409,   55, 8.175
SDSS J145308.94+092502.53,223.28725,9.41737,17.76, 0.01,DA, 10569,   26, 8.995
SDSS J110445.01+092530.83,166.18754,9.42523,15.99, 0.02,sdO, 36628,  240, 5.420
SDSS J151646.27+092631.70,229.19279,9.44214,17.02, 0.02,A/DAZ, 35543,  226, 5.000
SDSS J144307.70+093133.92,220.78208,9.52609,17.19, 0.02,DAB:, 31899,  141, 5.610
SDSS J091906.55+093209.53,139.77729,9.53598,18.23, 0.03,DA, 24043,  231, 7.947
SDSS J113953.07+093230.91,174.97113,9.54192,18.83, 0.01,DA, 17024,  190, 7.957
SDSS J091306.50+093326.96,138.27708,9.55749,17.17, 0.02,DA, 17619,   64, 8.091
SDSS J123246.31+093348.78,188.19296,9.56355,18.83, 0.02,DA, 97551, 5718, 8.443
SDSS J161834.01+093358.14,244.64171,9.56615,18.22, 0.01,DB, 19497,  450, 8.000
SDSS J135416.76+093426.65,208.56983,9.57407,18.35, 0.01,DA, 19256,  159, 7.817
SDSS J130003.80+093427.08,195.01583,9.57419,18.72, 0.02,DA, 17903,  180, 7.801
SDSS J133215.12+093557.88,203.063,9.59941,18.98, 0.02,DA, 17556,  172, 7.575
SDSS J112056.23+093641.72,170.23429,9.61159,16.18, 0.02,sdO, 41826,  417, 5.540
SDSS J142034.19+093642.70,215.14246,9.61186,18.86, 0.02,DA, 21577,  253, 8.002
SDSS J103123.91+093657.89,157.84963,9.61608,18.64, 0.02,DZ, 10710,   53, 8.000
SDSS J104951.71+093659.18,162.46546,9.61644,18.08, 0.02,DA, 16234,   85, 8.020
SDSS J100933.92+093705.88,152.39133,9.6183,16.48, 0.02,DA, 22369,   89, 8.048
SDSS J144916.85+093723.05,222.32021,9.62307,17.66, 0.01,DA, 40304,  319, 7.364
SDSS J085638.83+093818.06,134.16179,9.63835,18.17, 0.03,DA, 20625,  140, 8.029
SDSS J160322.84+093859.39,240.84517,9.64983,17.27, 0.02,B/sdB, 31441,  137, 5.630
SDSS J141435.86+093933.26,213.64942,9.65924,17.91, 0.02,DAB, 11339,  232, 8.560
SDSS J145506.86+094203.96,223.77858,9.7011,16.62, 0.02,A/DAZ, 33651,  147, 5.537
SDSS J104739.10+094424.18,161.91292,9.74005,16.72, 0.02,He-sdO, 47547,   45, 7.000
SDSS J090945.19+094451.97,137.43829,9.74777,18.74, 0.01,DA-He, 12500, 1000, 9.500
SDSS J160715.22+094629.46,241.81342,9.77485,18.99, 0.02,He-sdO, 49704,  588, 7.070
SDSS J092734.28+094711.15,141.89283,9.78643,17.75, 0.02,DA, 10194,   23, 8.909
SDSS J103831.67+094826.28,159.63196,9.8073,17.37, 0.02,DA, 18281,  111, 8.023
SDSS J121939.35+094956.42,184.91396,9.83234,18.04, 0.02,DB, 29737,  215, 7.800
SDSS J161129.88+095004.81,242.8745,9.83467,17.82, 0.01,He-sdB, 38269,  523, 5.670
SDSS J141506.39+095019.51,213.77662,9.83875,18.76, 0.01,DC, 11965,  620, 8.854
SDSS J132502.09+095220.60,201.25871,9.87239,18.55, 0.02,DAB/sdB, 24173,  301, 5.000
SDSS J101647.61+095334.26,154.19837,9.89285,17.68, 0.04,DA, 29800,  116, 7.392
SDSS J135415.25+095522.65,208.56354,9.92296,18.38, 0.01,He-sdO, 42430, 3000, 6.500
SDSS J161108.08+095635.34,242.78367,9.94315,17.61, 0.02,DA, 21107,  120, 7.977
SDSS J003504.65+095827.60,8.76938,9.97433,18.76, 0.01,DC, 11604, 1000, 9.000
SDSS J124026.13+095912.19,190.10888,9.98672,16.49, 0.02,DA, 25026,   85, 8.068
SDSS J160429.12+100002.20,241.12133,10.00061,16.95, 0.01,DAB:, 23819,  270, 5.680
SDSS J145547.79+100044.89,223.94913,10.01247,18.44, 0.02,DAB:, 13433,  129, 7.150
SDSS J092104.13+100517.48,140.26721,10.08819,18.99, 0.02,DA, 16453,  186, 8.100
SDSS J150547.57+100627.86,226.44821,10.10774,17.71, 0.02,DAB:, 23215,  214, 5.000
SDSS J161832.12+100655.00,244.63383,10.11528,17, 0.00,sdO, 39961,  383, 5.254
SDSS J142708.16+100911.09,216.784,10.15308,18.27, 0.02,DAH, 17445,  187, 7.890
SDSS J143317.78+101122.81,218.32408,10.18967,18.56, 0.02,CV, 10110,   43, 9.460
SDSS J161603.28+101210.62,244.01367,10.20295,17.62, 0.01,He-sdO, 54131, 3755, 6.830
SDSS J131138.41+101228.01,197.91004,10.20778,18.74, 0.02,DA, 15460,  134, 8.055
SDSS J144824.12+101501.58,222.1005,10.25044,18.85, 0.01,DBA, 12865,  121, 8.000
SDSS J094722.49+101523.54,146.84371,10.25654,17.71, 0.02,DO, 85000,15000, 7.500
SDSS J090831.06+101533.26,137.12942,10.25924,18.6, 0.02,sdO, 39678,  783, 5.478
SDSS J110546.37+101538.84,166.44321,10.26079,18.31, 0.02,DAO, 34903,  338, 5.720
SDSS J130139.53+101824.55,195.41471,10.30682,18.85, 0.02,sdO, 36575, 1194, 5.220
SDSS J141404.45+101948.86,213.51854,10.33024,18.72, 0.02,DA, 22616,  272, 7.819
SDSS J141218.72+102157.64,213.078,10.36601,18.92, 0.02,DB, 17051,  134, 8.070
SDSS J120350.03+102242.17,180.95846,10.37838,18.61, 0.02,DB, 11632,  148, 8.000
SDSS J113003.97+102339.98,172.51654,10.39444,18.11, 0.02,DA, 29120,  136, 7.869
SDSS J131737.68+102346.14,199.407,10.39615,18.11, 0.02,DA, 18985,  134, 7.896
SDSS J101615.26+102415.91,154.06358,10.40442,18.41, 0.02,DA, 17448,  118, 7.993
SDSS J132602.78+102522.40,201.51158,10.42289,18.89, 0.02,DAB:, 24313,  422, 5.010
SDSS J145818.51+102632.96,224.57712,10.44249,18.36, 0.02,DBA, 12128,   69, 8.000
SDSS J003424.43+102641.96,8.60179,10.44499,18.48, 0.03,DA,  7106,   33, 7.850
SDSS J100007.43+102643.22,150.03096,10.44534,18.31, 0.02,DA, 18407,  142, 8.631
SDSS J091239.64+102645.60,138.16517,10.446,18.98, 0.02,DAH:, 24277,  292, 8.000
SDSS J134608.46+102709.79,206.53525,10.45272,18.97, 0.02,DA, 21107,  209, 7.580
SDSS J152719.68+102748.56,231.832,10.46349,18.46, 0.02,He-sdB, 41618,  756, 5.550
SDSS J160444.72+102802.82,241.18633,10.46745,18.44, 0.02,sdB, 23130,  318, 5.000
SDSS J133525.72+102918.78,203.85717,10.48855,18.12, 0.02,DA+M2, 20098,  229, 7.880
SDSS J133350.55+102935.12,203.46062,10.49309,17.81, 0.04,DA, 10357,   24, 8.494
SDSS J092516.17+102943.33,141.31737,10.49537,18.94, 0.02,DA, 16678,   39, 7.969
SDSS J152820.28+103032.04,232.0845,10.5089,15.69, 0.03,DAO/sdO, 35443,  174, 5.650
SDSS J130318.39+103101.85,195.82663,10.51718,18.5, 0.02,DAO, 52228, 2111, 5.510
SDSS J144331.82+103124.20,220.88258,10.52339,18.28, 0.03,DA, 16971,  112, 8.003
SDSS J160810.62+103211.65,242.04425,10.53657,17.08, 0.01,He-sdB, 34544,  521, 5.060
SDSS J090339.72+103213.09,135.9155,10.53697,16.91, 0.02,DBA, 16704,   31, 8.000
SDSS J142855.43+103313.61,217.23096,10.55378,18.55, 0.02,DB+M, 15594, 1000, 8.017
SDSS J083656.62+103452.03,129.23592,10.58112,18.62, 0.01,DAH:, 21696,  196, 8.080
SDSS J163917.46+103605.04,249.82275,10.6014,18.81, 0.01,DAH,  6543,  142, 9.840
SDSS J143514.12+103631.14,218.80883,10.60865,15.9, 0.01,DAO, 97674, 2461, 7.810
SDSS J085820.01+103725.43,134.58337,10.62373,18.61, 0.02,DAH:, 18215,  244, 7.880
SDSS J122303.63+103839.66,185.76513,10.64435,18.08, 0.02,DA, 37017,  152, 8.062
SDSS J145534.04+103846.68,223.89183,10.6463,18.59, 0.03,DB, 12131,  100, 8.000
SDSS J142003.58+103929.84,215.01492,10.65829,18.19, 0.02,DAH, 16284,  200, 7.960
SDSS J112148.77+103934.13,170.45321,10.65948,17.98, 0.03,DAH, 12591,  198, 9.950
SDSS J145638.44+104028.88,224.16017,10.67469,18.79, 0.02,DA, 15902,  248, 8.163
SDSS J112023.53+104035.47,170.09804,10.67652,17.79, 0.03,DA, 16292,   72, 8.051
SDSS J120231.68+104243.63,180.632,10.71212,18.09, 0.02,DA, 16892,  133, 8.075
