#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J094924.24-021649.44,147.351,-2.2804,17.01, 0.02,DA, 21740,   68, 7.974
SDSS J232428.22-021644.70,351.11758,-2.27908,18.57, 0.01,DAZ,  6210,   41, 7.505
SDSS J143729.15-021506.08,219.37146,-2.25169,15.64, 0.02,He-sdB, 37584,  196, 5.000
SDSS J103104.59-021315.92,157.76913,-2.22109,18.48, 0.02,B/sdB:, 34169,  371, 5.730
SDSS J092904.85-021301.13,142.27021,-2.21698,17.08, 0.01,DA, 16502,   10, 7.995
SDSS J094026.86-021234.88,145.11192,-2.20969,17.85, 0.01,DB, 19069,  500, 8.071
SDSS J101136.23-021214.72,152.90096,-2.20409,17.17, 0.02,sdO, 35024,  146, 5.000
SDSS J123821.49-021211.52,189.58954,-2.2032,18.12, 0.02,He-sdO, 87348, 3482, 5.020
SDSS J100617.26-021008.69,151.57192,-2.16908,16.43, 0.02,sdB, 27605,  122, 5.050
SDSS J112721.29-020837.50,171.83871,-2.14375,16.21, 0.02,DA, 26382,   51, 7.902
SDSS J114210.73-020822.49,175.54471,-2.13958,18.91, 0.02,DA:,  6890,   67, 8.030
SDSS J101558.33-020334.09,153.99304,-2.05947,18.29, 0.01,DA, 44207,  472, 7.993
SDSS J143239.60-020315.83,218.165,-2.0544,18.98, 0.01,DB, 13448,   88, 8.000
SDSS J101619.79-020258.31,154.08246,-2.04953,16.89, 0.02,DA+M3, 75536, 2103, 8.400
SDSS J104832.64-020112.29,162.136,-2.02008,15.62, 0.00,DB, 15170,  100, 8.401
SDSS J135210.12-015836.23,208.04217,-1.97673,18.87, 0.02,He-sdB, 13132,   96, 7.030
SDSS J235546.35-015817.72,358.94313,-1.97159,18.68, 0.02,DA, 25150,  231, 8.095
SDSS J022238.98-015806.42,35.66242,-1.96845,18.86, 0.02,DA,  7999,   46, 8.652
SDSS J125245.78-015723.33,193.19075,-1.95648,17.64, 0.02,DA, 17585,   73, 8.088
SDSS J093001.64-015626.63,142.50683,-1.94073,18.93, 0.02,DA, 26592,  233, 7.811
SDSS J104349.87-015456.63,160.95779,-1.91573,18.65, 0.01,A/sdB, 31319,  358, 5.072
SDSS J151250.01-015436.32,228.20837,-1.91009,15.52, 0.01,sdB, 23151,   96, 5.000
SDSS J143319.92-015434.67,218.333,-1.90963,18.7, 0.02,B/DAZ, 32009,  254, 5.638
SDSS J140235.99-014925.66,210.64996,-1.82379,17.95, 0.01,DB, 18775,  200, 7.896
SDSS J011509.36-014609.16,18.789,-1.76921,17.98, 0.02,DA,  7872,   69, 7.789
SDSS J114310.26-014529.05,175.79275,-1.75807,19, 0.02,DZ, 10530,   40, 8.000
SDSS J135632.55-014436.56,209.13563,-1.74349,18.36, 0.03,DA, 19992,  174, 8.107
SDSS J151030.69-014345.84,227.62787,-1.7294,16.25, 0.02,He-sdO, 47547,   45, 7.000
SDSS J102010.07-014228.98,155.04196,-1.70805,18.31, 0.02,DA, 17877,   99, 8.085
SDSS J235244.94-014118.17,358.18725,-1.68838,18.31, 0.03,DA, 17126,  145, 8.696
SDSS J102710.28-014011.03,156.79283,-1.66973,18.22, 0.04,DA, 11645,   51, 8.385
SDSS J133433.89-014006.96,203.64121,-1.6686,16.35, 0.03,DA, 17797,   58, 8.105
